aaaamon.dll,Aaaa Monitor DLL
kbdth3.dll,Thai Pattachote (non-ShiftLock) Keyboard Layout
kbdtuf.dll,Turkish F Keyboard Layout
kbdtuq.dll,Turkish Q Keyboard Layout
kbduk.dll,United Kingdom Keyboard Layout
kbdukx.dll,United Kingdom Extended Keyboard Layout
kbdur.dll,Ukrainian Keyboard Layout
kbdurdu.dll,Urdu Keyboard Layout
kbdus.dll,United States Keyboard Layout
kbdusa.dll,US IBM Arabic 238_L Keyboard Layout
kbdusl.dll,Dvorak Left-Hand US English Keyboard Layout
kbdusr.dll,Dvorak Right-Hand US English Keyboard Layout
kbdusx.dll,US Multinational Keyboard Layout
kbduzb.dll,Uzbek_Cyrillic Keyboard Layout
kbdvntc.dll,Vietnamese Keyboard Layout
kbdycc.dll,Serbian_Cyrillic Keyboard Layout
kbdycl.dll,Serbian_Latin Keyboard Layout
kd1394.dll,Kernel Debugger IEEE 1394 HW Extension DLL
kdcom.dll,Kernel Debugger HW Extension DLL
kerberos.dll,Kerberos Security Package
kernel32.dll,Windows NT BASE API Client DLL
keymgr.dll,Stored User Names and Passwords
kmsvc.dll,Key Management Service
korwbrkr.dll,Korean WordBreaker
ksuser.dll,User CSA Library
l2gpstore.dll,Policy Storage dll
langwrbk.dll,English wordbreaker
laprxy.dll,Windows Media Logagent Proxy
licdll.dll,Licdll Module
licmgr10.dll,Microsoft® License Manager DLL
licwmi.dll,Windows Product Activation Configuration WMI provider
linkinfo.dll,Windows Volume Tracking
lmhsvc.dll,TCPIP NetBios Transport Services DLL
lmrt.dll,Liquid Motion Runtime Control
loadperf.dll,Load & Unload Performance Counters
localsec.dll,Local Users and Groups MMC Snapin
localspl.dll,Local Spooler DLL
localui.dll,Local Monitor UI DLL
loghours.dll,Schedule Dialog
lpk.dll,Language Pack
lprhelp.dll,LPR Print Monitor
lprmonui.dll,LPR Print Monitor UI
lsasrv.dll,LSA Server DLL
lz32.dll,LZ Expand/Compress API DLL
mag_hook.dll,Microsoft Magnifier hook library file
mapi32.dll,Extended MAPI 1.0 for Windows NT
mapistub.dll,Extended MAPI 1.0 for Windows NT
mcastmib.dll,Microsoft Multicast subagent
mcd32.dll,OpenGL MCD Client DLL
mcdsrv32.dll,MCD Server
mchgrcoi.dll,Medium Changer CoInstaller
mciavi32.dll,Video For Windows MCI driver
mcicda.dll,MCI driver for cdaudio devices
mciole32.dll,MCI OLE DLL
mciqtz32.dll,DirectShow MCI Driver
mciseq.dll,MCI driver for MIDI sequencer
mciwave.dll,MCI driver for waveform audio
mdhcp.dll,Microsoft MDHCP Client COM Interface
mdminst.dll,Modem Class Installer
mf3216.dll,32-bit to 16-bit Metafile Conversion DLL
