dpnathlp.dll,Microsoft DirectPlay NAT Helper UPnP
dpnet.dll,Microsoft DirectPlay
dpnhpast.dll,Microsoft DirectPlay NAT Helper PAST
dpnhupnp.dll,Microsoft DirectPlay NAT Helper UPNP
dpnlobby.dll,Microsoft DirectPlay8 Lobby
dps.dll,WDI Diagnostic Policy Service
dpwsockx.dll,Internet TCP/IP and IPX Connection For DirectPlay
dpx.dll,Microsoft(R) Delta Package Expander
drmmgrtn.dll,DRM Migration DLL
drmv2clt.dll,DRMv2 Client DLL
drprov.dll,Microsoft Remote Desktop Session Host Server Network Provider
drt.dll,Distributed Routing Table
drtprov.dll,Distributed Routing Table Providers
drttransport.dll,Distributed Routing Table Transport Provider
drvstore.dll,Driver Store API
ds32gt.dll,ODBC Driver Setup Generic Thunk
dsauth.dll,DS Authorization for Services
dsdmo.dll,DirectSound Effects
dskquota.dll,Windows Shell Disk Quota Support DLL
dskquoui.dll,Windows Shell Disk Quota UI DLL
dsound.dll,DirectSound
dsprop.dll,Windows Active Directory Property Pages
dsquery.dll,Directory Service Find
dsrole.dll,DS Role Client DLL
dssec.dll,Directory Service Security UI
dssenh.dll,Microsoft Enhanced DSS and Diffie-Hellman Cryptographic Provider
dsuiext.dll,Directory Service Common UI
dswave.dll,Microsoft DirectMusic Wave
dtsh.dll,Detection and Sharing Status API
dui70.dll,Windows DirectUI Engine
duser.dll,Windows DirectUser Engine
dwmapi.dll,Microsoft Desktop Window Manager API
dwmcore.dll,Microsoft DWM Core Library
dwmredir.dll,Microsoft Desktop Window Manager Redirection Component
dxdiagn.dll,Microsoft DirectX Diagnostic Tool
dxgi.dll,DirectX Graphics Infrastructure
dxmasf.dll,Microsoft Windows Media Component Removal File.
dxpps.dll,Device Experience Platform Proxy\Stub DLL
dxtmsft.dll,DirectX Media -- Image DirectX Transforms
dxtrans.dll,DirectX Media -- DirectX Transform Core
dxva2.dll,DirectX Video Acceleration 2.0 DLL
EAPQEC.DLL,Microsoft EAP NAP Enforcement Client
ELSCore.dll,Els Core Platform DLL
EhStorAPI.dll,Windows Enhanced Storage API
EhStorPwdMgr.dll,Windows Enhanced Storage Password Manager
EhStorShell.dll,Windows Enhanced Storage Shell Extension DLL
EncDec.dll,XDSCodec & Encypter/Decrypter Tagger Filters.
EncDump.dll,Media Foundation Crash Dump Encryption DLL
ExplorerFrame.dll,ExplorerFrame
eapp3hst.dll,Microsoft ThirdPartyEapDispatcher
eappcfg.dll,Eap Peer Config
eappgnui.dll,EAP Generic UI
eapphost.dll,Microsoft EAPHost Peer service
eappprxy.dll,Microsoft EAPHost Peer Client DLL
eapsvc.dll,Microsoft EAPHost service
efsadu.dll,File Encryption Utility
efscore.dll,EFS Core Library
efslsaext.dll,LSA extension for EFS
efssvc.dll,EFS Service
efsutil.dll,EFS Utility Library
els.dll,Event Viewer Snapin
elsTrans.dll,ELS Transliteration Service
elslad.dll,ELS Language Detection
encapi.dll,Encoder API
energy.dll,Power Efficiency Diagnostics
eqossnap.dll,EQoS Snapin extension
es.dll,COM+
esent.dll,Extensible Storage Engine for Microsoft(R) Windows(R)
esentprf.dll,Extensible Storage Engine Performance Monitoring Library for Microsoft(R) Windows(R)
eventcls.dll,Microsoft® Volume Shadow Copy Service event class
evr.dll,Enhanced Video Renderer DLL
expsrv.dll,Visual Basic for Applications Runtime - Expression Service
FDResPub.dll,Function Discovery Resource Publication Service
FWPUCLNT.DLL,FWP/IPsec User-Mode API
FXSAPI.dll,Microsoft Fax API Support DLL
FXSCOM.dll,Microsoft Fax Server COM Client Interface
FXSCOMEX.dll,Microsoft Fax Server Extended COM Client Interface
FXSCOMPOSE.dll,Compose Form
FXSCOMPOSERES.dll,Fax Compose
FXSEVENT.dll,Microsoft Fax EventLog Support DLL
FXSEXT32.dll,Microsoft Fax Exchange Command Extension
FXSMON.dll,Microsoft Fax Print Monitor
FXSRESM.dll,Microsoft Fax Resource DLL
FXSROUTE.dll,Microsoft Fax Routing DLL
FXSST.dll,Fax Service
FXST30.dll,Microsoft Fax T30 Protocol Service Provider
FXSTIFF.dll,Microsoft Fax TIFF library
FXSUTILITY.dll,Fax Utility DLL
FXSXP32.dll,Microsoft Fax Transport Provider
Faultrep.dll,Windows User Mode Crash Reporting DLL
FeedbackTool.dll,Feedback Tool
FirewallAPI.dll,Windows Firewall API
FirewallControlPanel.dll,Windows Firewall Control Panel
FntCache.dll,Windows Font Cache Service
FwRemoteSvr.dll,Windows Firewall Remote APIs Server
f3ahvoas.dll,JP Japanese Keyboard Layout for Fujitsu FMV oyayubi-shift keyboard
fdBth.dll,Function Discovery Bluetooth Provider Dll
fdBthProxy.dll,Bluetooth Provider Proxy Dll
fdPHost.dll,Function Discovery Provider host service
fdPnp.dll,Pnp Provider Dll
fdProxy.dll,Function Discovery Proxy Dll
fdSSDP.dll,Function Discovery SSDP Provider Dll
fdWCN.dll,Windows Connect Now - Config Function Discovery Provider DLL
fdWNet.dll,Function Discovery WNet Provider Dll
fdWSD.dll,Function Discovery WS Discovery Provider Dll
fde.dll,Folder Redirection Snapin Extension
fdeploy.dll,Folder Redirection Group Policy Extension
fdprint.dll,Function Discovery Print Provider Dll
feclient.dll,Windows NT File Encryption Client Interfaces
filemgmt.dll,Services and Shared Folders
findnetprinters.dll,Find Network Printers COM Component
fltLib.dll,Filter Library
fmifs.dll,FM IFS Utility DLL
fontext.dll,Windows Font Folder
fontsub.dll,Font Subsetting DLL
fphc.dll,Filtering Platform Helper Class
framebuf.dll,Framebuffer Display Driver
framedyn.dll,WMI SDK Provider Framework
framedynos.dll,WMI SDK Provider Framework
fthsvc.dll,Microsoft Windows Fault Tolerant Heap Diagnostic Module
fundisc.dll,Function Discovery Dll
fveRecover.dll,Windows BitLocker Drive Encryption User Interface
fveapi.dll,Windows BitLocker Drive Encryption API
fveapibase.dll,Windows BitLocker Drive Encryption Base API
fvecerts.dll,BitLocker Certificates Library
fvecpl.dll,BitLocker Drive Encryption control panel
fveui.dll,BitLocker Drive Encryption UI
fvewiz.dll,BitLocker Drive Encryption Wizard
fwcfg.dll,Windows Firewall Configuration Helper
GameUXLegacyGDFs.dll,Legacy GDF resource DLL
Groupinghc.dll,Grouping Helper Class
gacinstall.dll,Installers for CLR and other managed code
gameux.dll,Games Explorer
gcdef.dll,Game Controllers Default Sheets
gdi32.dll,GDI Client DLL
getuname.dll,Unicode name Dll for UCE
glmf32.dll,OpenGL Metafiling DLL
glu32.dll,OpenGL Utility Library DLL
gpapi.dll,Group Policy Client API
gpedit.dll,GPEdit
gpprefcl.dll,Group Policy Preference Client
gpprnext.dll,Group Policy Printer Extension
gpscript.dll,Script Client Side Extension
gpsvc.dll,Group Policy Client
gptext.dll,GPTExt
HelpPaneProxy.dll,Microsoft® Help Proxy
HotStartUserAgent.dll,Microsoft Windows HotStart User Agent
hal.dll,Hardware Abstraction Layer DLL
halacpi.dll,Hardware Abstraction Layer DLL
halmacpi.dll,Hardware Abstraction Layer DLL
hbaapi.dll,HBA API data interface dll for HBA_API_Rev_2-18_2002MAR1.doc
hcproviders.dll,Action Center Providers
hgcpl.dll,HomeGroup Control Panel
hgprint.dll,HomeGroup Printing Support
hhsetup.dll,Microsoft® HTML Help
hid.dll,Hid User Library
hidserv.dll,HID Service
hlink.dll,Microsoft Office 2000 component
hnetcfg.dll,Home Networking Configuration Manager
hnetmon.dll,Home Networking Monitor DLL
hotplug.dll,Safely Remove Hardware applet
httpapi.dll,HTTP Protocol Stack API
htui.dll,Common halftone Color Adjustment Dialogs
IDStore.dll,Identity Store
IKEEXT.DLL,IKE extension
IMJP10K.DLL,Microsoft IME
INETRES.dll,Microsoft Internet Messaging API Resources
IPBusEnum.dll,PnP-X IP Bus Enumerator DLL
IPBusEnumProxy.dll,Associated Device Presence Proxy Dll
IPHLPAPI.DLL,IP Helper API
IPSECSVC.DLL,Windows IPsec SPD Server DLL
IasMigPlugin.dll,NPS Migration DLL
IcCoinstall.dll,Hyper-V Integration Components Coinstaller
IconCodecService.dll,Converts a PNG part of the icon to a legacy bmp icon
IdListen.dll,Identity Listener
InkEd.dll,Microsoft Tablet PC InkEdit Control
iTVData.dll,iTV Data Filters.
ias.dll,Network Policy Server
iasacct.dll,NPS Accounting Provider
iasads.dll,NPS Active Directory Data Store
iasdatastore.dll,NPS Datastore server
iashlpr.dll,NPS Surrogate Component
iasnap.dll,NPS NAP Provider
iaspolcy.dll,NPS Pipeline
iasrad.dll,NPS RADIUS Protocol Component
iasrecst.dll,NPS XML Datastore Access
iassam.dll,NPS NT SAM Provider
iassdo.dll,NPS SDO Component
iassvcs.dll,NPS Services Component
icaapi.dll,DLL Interface to TermDD Device Driver
icardie.dll,Microsoft Information Card IE Helper
icardres.dll,Windows CardSpace
icfupgd.dll,Windows Firewal ICF Settings Upgrade
icm32.dll,Microsoft Color Management Module (CMM)
icmp.dll,ICMP DLL
icmui.dll,Microsoft Color Matching System User Interface DLL
icsigd.dll,Internet Gateway Device properties
idndl.dll,Downlevel DLL
ieakeng.dll,Internet Explorer Administration Kit Engine Library
ieaksie.dll,Internet Explorer Snap-in Extension to Group Policy
ieakui.dll,Microsoft IEAK Shared UI DLL
ieapfltr.dll,Microsoft SmartScreen Filter
iedkcs32.dll,IEAK branding
ieframe.dll,Internet Browser
iepeers.dll,Internet Explorer Peer Objects
iernonce.dll,Extended RunOnce processing with UI
iertutil.dll,Run time utility for Internet Explorer
iesetup.dll,IOD Version Map
iesysprep.dll,IE Sysprep Provider
ieui.dll,Internet Explorer UI Engine
ifmon.dll,IF Monitor DLL
ifsutil.dll,IFS Utility DLL
ifsutilx.dll,IFS Utility Extension DLL
igdDiag.dll,IGD Helper Class
imagehlp.dll,Windows NT Image Helper
imageres.dll,Windows Image Resource
imagesp1.dll,Windows SP1 Image Resource
imapi.dll,Image Mastering API
imapi2.dll,Image Mastering API v2
imapi2fs.dll,Image Mastering File System Imaging API v2
imgutil.dll,IE plugin image decoder support DLL
imm32.dll,Multi-User Windows IMM32 API Client DLL
inetcomm.dll,Microsoft Internet Messaging API Resources
inetmib1.dll,Microsoft MIB-II subagent
inetpp.dll,Internet Print Provider DLL
inetppui.dll,Internet Print Client DLL
infocardapi.dll,Microsoft InfoCards
input.dll,InputSetting DLL
inseng.dll,Install engine
iologmsg.dll,IO Logging DLL
iphlpsvc.dll,Service that offers IPv6 connectivity over an IPv4 network.
ipnathlp.dll,Microsoft NAT Helper Components
iprop.dll,OLE PropertySet Implementation
iprtprio.dll,IP Routing Protocol Priority DLL
iprtrmgr.dll,IP Router Manager
ipsecsnp.dll,IP Security Policy Management Snap-in
ipsmsnap.dll,IP Security Monitor Snap-in
irclass.dll,Infrared Class Coinstaller
irmon.dll,Infrared Monitor
iscsicpl.dll,iSCSI Initiator Control Panel Applet
iscsidsc.dll,iSCSI Discovery api
iscsied.dll,iSCSI Extension DLL
iscsiexe.dll,iSCSI Discovery service
iscsilog.dll,iSCSI Event Log DLL
iscsium.dll,iSCSI Discovery api
iscsiwmi.dll,MS iSCSI Initiator WMI Provider
itircl.dll,Microsoft® InfoTech IR Local DLL
itss.dll,Microsoft® InfoTech Storage System Library
iyuv_32.dll,Intel Indeo(R) Video YUV Codec
jnwmon.dll,Windows Journal Port Monitor DLL
jscript.dll,Microsoft ® JScript
